Time(RTC),Time(Millis),Shock Pot FL,Shock Pot FR,Shock Pot RL,Shock Pot RR,Steering,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z,Mag X,Mag Y,Mag Z
23:06:33,100022,666,754,590,692,872,2.35,1.17,-0.94,-0.08,-0.07,1.2,-0.18,0.38,-0.24
23:06:33,100049,666,754,590,692,871,1.95,0.38,-1.08,-0.33,-0.59,1.06,-0.18,0.38,-0.24
23:06:33,100076,666,754,590,692,872,1.38,0.89,-1.17,0.12,0.19,0.86,-0.18,0.38,-0.24
23:06:33,100102,666,754,590,692,872,0,-0.11,-1.52,0.04,0.27,1.09,-0.18,0.38,-0.24
23:06:33,100129,666,754,590,692,872,2.55,0.66,-1.71,-0.32,0.28,1.03,-0.18,0.38,-0.24
23:06:33,100157,666,754,590,692,872,1.86,0,-1.54,-0.31,-0.11,0.35,-0.18,0.38,-0.24
23:06:33,100184,666,754,590,695,872,2.24,0,-1.58,-0.35,0.16,1.07,-0.18,0.38,-0.24
23:06:33,100211,666,754,590,692,872,4.3,0.96,-1.19,-0.15,0.05,0.81,-0.18,0.38,-0.24
23:06:33,100237,666,754,590,692,872,4.6,0.76,-0.75,0.17,0,1.05,-0.18,0.38,-0.24
23:06:33,100264,666,754,590,692,872,4.99,0.78,-0.94,-0.38,-0.19,1.23,-0.18,0.38,-0.24
23:06:33,100290,666,754,590,692,872,4.21,0.05,-0.11,0.44,-0.66,1.51,-0.18,0.38,-0.24
23:06:33,100319,665,754,590,692,871,4.46,0.46,-0.94,0.03,0.17,1.44,-0.18,0.38,-0.24
23:06:33,100346,666,754,590,691,872,3.39,0.61,-0.32,-0.21,-0.57,1.19,-0.18,0.38,-0.24
23:06:34,100372,666,754,590,692,871,1.57,0.41,-0.84,-0.18,-0.23,0.87,-0.18,0.38,-0.24
23:06:34,100399,666,754,590,692,873,1.5,-1.79,-0.73,0.19,0.36,0.8,-0.18,0.38,-0.24
23:06:34,100425,666,754,590,692,871,2.09,-0.45,-0.78,-0.15,0.26,0.89,-0.18,0.38,-0.24
23:06:34,100452,666,754,590,691,871,3.26,-0.51,-0.62,-0.15,0.41,0.67,-0.18,0.38,-0.24
23:06:34,100481,666,754,590,692,871,1.43,-1.59,-0.98,0.09,0.41,0.99,-0.18,0.38,-0.24
23:06:34,100507,666,754,590,692,872,3.27,-0.07,-1.05,-0.25,0.41,0.65,-0.18,0.38,-0.24
23:06:34,100534,666,754,590,692,872,3.54,0.07,-0.96,-0.16,0.27,0.65,-0.18,0.38,-0.24
23:06:34,100560,666,754,590,692,872,4.49,-0.55,-0.39,0.28,-0.2,1.38,-0.18,0.38,-0.24
23:06:34,100587,666,754,590,692,872,3.1,-0.11,-0.88,0.14,-0.66,1.31,-0.18,0.38,-0.24
23:06:34,100614,666,754,590,692,873,1.83,0.95,-0.78,-0.04,-0.71,1.29,-0.18,0.38,-0.24
23:06:34,100642,666,754,590,692,872,3.71,0.09,-0.69,0.03,-0.62,1.44,-0.18,0.38,-0.24
23:06:34,100669,666,754,590,692,874,2.13,1.04,-1.72,0.02,-0.45,0.82,-0.18,0.38,-0.24
23:06:34,100695,666,754,590,692,873,0.72,0.69,-1.92,0.02,-0.21,1.25,-0.18,0.38,-0.24
23:06:34,100722,666,754,590,692,874,0.67,-0.33,-1.66,-0.17,0.12,0.99,-0.18,0.38,-0.24
23:06:34,100749,666,754,590,692,873,1.15,-0.72,-2.21,0.22,0.43,0.77,-0.18,0.38,-0.24
23:06:34,100775,666,754,590,692,873,1.95,-0.32,-1.25,-0.21,0.53,1,-0.18,0.38,-0.24
23:06:34,100804,666,754,590,690,873,1.55,-0.14,-2.25,0.02,0.5,0.95,-0.18,0.38,-0.24
23:06:34,100830,666,754,590,692,873,3.05,0.03,-1.67,-0.36,0.53,0.77,-0.18,0.38,-0.24
23:06:34,100857,666,754,590,692,874,4.46,-0.43,-0.99,0.19,0,1.26,-0.18,0.38,-0.24
23:06:34,100884,666,754,590,688,872,3.3,-0.89,-0.54,-0.09,0.06,1.21,-0.18,0.38,-0.24
23:06:34,100910,666,754,590,692,873,2.26,0.31,-0.46,-0.19,-0.76,1.26,-0.18,0.38,-0.24
23:06:34,100937,666,754,590,692,873,1.4,-0.67,-2.46,0.07,-0.04,0.97,-0.18,0.38,-0.24
23:06:34,100965,666,754,590,692,873,2.98,-0.21,-0.63,-0.13,-0.68,1.38,-0.18,0.38,-0.24
23:06:34,100992,666,754,590,692,873,1.46,-0.63,-1.84,-0.27,-0.27,0.97,-0.18,0.38,-0.24
23:06:34,101019,666,754,590,692,873,1.44,-0.49,-2.55,-0.16,0.02,1.03,-0.18,0.38,-0.24
23:06:34,101045,666,754,590,692,874,1.74,0.37,-2.21,0.05,0.51,0.97,-0.18,0.38,-0.24
23:06:34,101072,666,754,590,692,872,3.43,1.68,-1.54,0.25,0.38,1.26,-0.18,0.38,-0.24
23:06:34,101098,666,754,590,692,873,3.16,0.59,-0.73,0.25,0.11,1.22,-0.18,0.38,-0.24
23:06:34,101127,666,754,590,692,873,3.71,1.24,-0.89,0.22,0.02,1,-0.18,0.38,-0.24
23:06:34,101154,666,754,590,692,872,3.9,0.9,-0.94,0.15,0,1.1,-0.18,0.38,-0.24
23:06:34,101180,666,754,590,692,873,2.43,1.02,-0.56,0.13,-0.56,1.03,-0.18,0.38,-0.24
23:06:34,101207,666,754,590,692,873,1.71,1.86,-0.59,-0.04,-0.73,1.12,-0.18,0.38,-0.24
23:06:34,101233,666,754,590,688,873,1.38,0.52,-1.41,0.06,0.24,0.88,-0.18,0.38,-0.24
23:06:34,101260,666,754,590,692,873,0.94,0,-1.7,-0.12,0.33,0.99,-0.18,0.38,-0.24
23:06:34,101289,666,754,590,692,873,1.13,0.17,-1.2,-0.41,-0.62,0.93,-0.18,0.38,-0.24
23:06:34,101315,666,754,590,691,872,0.99,0.19,-1.44,0.04,-0.13,0.89,-0.18,0.38,-0.24
23:06:34,101342,666,754,590,692,874,1.45,-0.19,-1.72,-0.19,0.42,0.82,-0.18,0.38,-0.24
23:06:35,101368,666,754,590,690,873,1.53,-0.44,-1.72,-0.57,0.08,1.02,-0.18,0.38,-0.24
23:06:35,101395,666,754,590,692,873,3.61,1.26,-1.8,0.02,0.29,0.67,-0.18,0.38,-0.24
23:06:35,101422,666,754,590,691,873,4.21,0.53,-0.73,-0.35,0.32,0.85,-0.18,0.38,-0.24
23:06:35,101450,666,754,590,692,873,1.6,0.08,-1.99,-0.41,0.29,0.8,-0.18,0.38,-0.24
23:06:35,101477,666,754,590,692,874,3.36,0.26,-1.53,-0.28,0.11,0.92,-0.18,0.38,-0.24
23:06:35,101503,666,754,590,692,873,4.09,1.67,-2,-0.16,0.44,0.92,-0.18,0.38,-0.24
23:06:35,101530,666,754,590,692,873,3.88,0.6,-0.63,-0.24,0.03,0.68,-0.18,0.38,-0.24
23:06:35,101557,666,754,590,692,872,4.2,1.08,-0.46,0,-0.04,1.59,-0.18,0.38,-0.24
23:06:35,101583,666,754,590,692,874,5.2,1.28,-0.37,0.16,0,1.36,-0.18,0.38,-0.24
23:06:35,101612,666,754,590,692,874,2.73,1.39,-0.92,-0.2,0.17,0.79,-0.18,0.38,-0.24
23:06:35,101638,666,754,590,692,873,3.11,1.52,-1.11,-0.67,-0.2,1.46,-0.18,0.38,-0.24
23:06:35,101665,666,754,590,692,873,3.77,1.55,-0.71,0.06,0,1.47,-0.18,0.38,-0.24
23:06:35,101692,666,754,590,692,873,4.96,0.52,-0.67,0,0,1.78,-0.18,0.38,-0.24
23:06:35,101718,666,754,590,692,873,4.59,0.74,-0.52,0.14,-0.07,1.42,-0.18,0.38,-0.24
23:06:35,101745,666,754,590,692,873,4.84,0.14,0.11,0.01,-0.66,1.56,-0.18,0.38,-0.24
23:06:35,101774,666,754,590,692,873,2.93,1.58,-0.38,-0.15,-0.04,1.29,-0.18,0.38,-0.24
23:06:35,101800,666,754,590,692,874,4.83,0.59,-0.68,0.24,-0.18,1.52,-0.18,0.38,-0.24
23:06:35,101827,666,754,590,692,874,4.45,0.36,-0.31,0,0.01,1.4,-0.18,0.38,-0.24
23:06:35,101853,666,754,590,692,873,2.97,1.2,-0.91,-0.33,-0.76,1.05,-0.18,0.38,-0.24
23:06:35,101880,666,754,590,692,873,1.35,-0.51,-1.55,-0.17,-0.51,0.96,-0.18,0.38,-0.24
23:06:35,101907,666,754,590,691,873,0.11,-2.37,-1.55,-0.06,0.08,0.89,-0.18,0.38,-0.24
23:06:35,101935,666,754,590,692,873,1.9,0,-1.19,-0.09,0.07,0.78,-0.18,0.38,-0.24
23:06:35,101962,665,754,590,691,874,0.95,-2.19,-1.25,0.3,0,0.8,-0.18,0.38,-0.24
23:06:35,101988,666,754,590,692,873,3.19,-1.29,-1.31,-0.45,0.4,0.65,-0.18,0.38,-0.24
23:06:35,102015,665,754,590,692,874,4.03,-0.32,-0.83,0.01,0.38,0.9,-0.18,0.38,-0.24
23:06:35,102042,666,754,590,692,873,3.74,-1.1,-0.55,0,-0.15,1.22,-0.18,0.38,-0.24
23:06:35,102068,666,754,590,691,874,3.08,1.5,-0.85,-0.1,-0.72,0.92,-0.18,0.38,-0.24
23:06:35,102097,665,754,590,692,873,3.65,-1.49,-0.6,0.31,0.09,1.32,-0.18,0.38,-0.24
23:06:35,102123,665,754,590,691,873,2.28,2.43,-1.23,-0.11,-0.6,1.16,-0.18,0.38,-0.24
23:06:35,102150,665,754,590,692,874,1.01,1.51,-2.54,0.26,0.13,1.13,-0.18,0.38,-0.24
